,model_popularity,purchase_model,actual
537,0.0006665578785205181,S60,0.35684647302904565
538,0.0006720894791721406,911,0.4403292181069959
539,0.0006803868801495745,CLK350,0.32113821138211385
540,0.0007080448834076873,A6,0.375
541,0.000716342284385121,A3,0.35135135135135137
542,0.000716342284385121,S550,0.4594594594594595
543,0.0007357028866658,MKT,0.38345864661654133
544,0.0007384686869916113,EXPEDITION EL,0.3782771535580524
545,0.0007384686869916113,Q7,0.3595505617977528
546,0.0007495318882948564,STS,0.35793357933579334
547,0.0007661266902497241,TOUAREG,0.3574007220216607
548,0.0007716582909013467,S40,0.3942652329749104
549,0.0007771898915529692,GOLF,0.3416370106761566
550,0.0007827214922045918,CAYENNE,0.38869257950530034
551,0.0007827214922045918,LS 430,0.38869257950530034
552,0.0007854872925304031,LESABRE,0.3485915492957746
553,0.0007882530928562143,IS 350,0.3087719298245614
554,0.0007965504938336482,GS 300,0.3645833333333333
555,0.0008131452957885159,DTS,0.36054421768707484
556,0.0008325058980691948,M37,0.33554817275747506
557,0.0008491007000240625,A5,0.3583061889250814
558,0.0008712271026305527,MAZDA2,0.3523809523809524
559,0.000873992902956364,GRAND VITARA,0.33860759493670883
560,0.0008933535052370429,E-350,0.43962848297213625
561,0.0008961193055628542,XD,0.3333333333333333
562,0.0009016509062144768,ENDEAVOR,0.3496932515337423
563,0.0009016509062144768,XF,0.30368098159509205
564,0.0009071825068660993,F350,0.3902439024390244
565,0.0009127141075177218,AURA,0.3181818181818182
566,0.0009154799078435332,SOLSTICE,0.36253776435045315
567,0.0009237773088209669,ES 330,0.3263473053892216
568,0.0009237773088209669,XC90,0.33532934131736525
569,0.0009265431091467783,MARINER,0.3044776119402985
570,0.0009293089094725896,C250,0.37202380952380953
571,0.0009348405101242121,SPECTRA,0.31952662721893493
572,0.0009376063104500233,GL450,0.3687315634218289
573,0.0009514353120790797,330,0.3866279069767442
574,0.00097356171468557,MKS,0.3409090909090909
575,0.0009763275150113812,RAM 2500,0.37110481586402266
576,0.0009873907163146264,EXPLORER SPORT TRAC,0.3753501400560224
577,0.0009901565166404377,EOS,0.3659217877094972
578,0.0009929223169662489,CROWN VICTORIA,0.37604456824512533
579,0.0010012197179436828,LEGACY,0.32320441988950277
580,0.0010095171189211166,750,0.3917808219178082
581,0.0010205803202243617,M3,0.41192411924119243
582,0.0010316435215276067,LS 460,0.4101876675603217
583,0.0010399409225050407,E-250,0.425531914893617
584,0.0010399409225050407,GX 470,0.3377659574468085
585,0.0010454725231566632,CAMRY HYBRID,0.30952380952380953
586,0.0010675989257631535,LUCERNE,0.33678756476683935
587,0.0010675989257631535,MILAN,0.3238341968911917
588,0.0010703647260889646,128,0.3798449612403101
589,0.001092491128695455,QX56,0.3468354430379747
590,0.0010952569290212663,EX35,0.3787878787878788
591,0.0010980227293470775,ENVOY,0.33753148614609574
593,0.0011007885296728888,Q5,0.3341708542713568
592,0.0011007885296728888,OUTLANDER,0.31909547738693467
594,0.0011090859306503225,SILVERADO 2500,0.33665835411471323
595,0.001131212333256813,GS 350,0.34474327628361856
596,0.0011478071352116804,M35,0.35903614457831323
597,0.0011699335378181708,RIDGELINE,0.3640661938534279
598,0.0011837625394472272,CIVIC HYBRID,0.35514018691588783
599,0.0012003573414020947,SONIC,0.35714285714285715
600,0.0012058889420537174,SEDONA,0.3302752293577982
601,0.0012363127456376415,RDX,0.319910514541387
602,0.0012446101466150753,RANGE ROVER SPORT,0.3511111111111111
603,0.0012446101466150753,SX4,0.35555555555555557
605,0.0012943945524796783,X3,0.33760683760683763
604,0.0012943945524796783,370Z,0.3482905982905983
606,0.001299926153131301,ION,0.33617021276595743
607,0.001322052555737791,535,0.34309623430962344
608,0.0013414131580184701,JUKE,0.36907216494845363
609,0.0013746027619282054,HS 250H,0.3118712273641851
610,0.001380134362579828,TOWN CAR,0.37675350701402804
611,0.001418855567141186,SOLARA,0.34502923976608185
612,0.001421621367466997,RX 330,0.33073929961089493
613,0.0014437477700734874,GTI,0.3371647509578544
614,0.0014465135703992985,QUEST,0.33460803059273425
615,0.0014520451710509212,CUBE,0.34285714285714286
616,0.0014631083723541662,YUKON XL 1500,0.33648393194706994
617,0.0014824689746348453,DAKOTA,0.33955223880597013
618,0.0014962979762639017,Z4,0.3234750462107209
619,0.001551613982780127,MKX,0.33689839572192515
620,0.0015931009876672963,MATRIX,0.3229166666666667
621,0.0016041641889705414,ELEMENT,0.3396551724137931
622,0.0016069299892963527,COMMANDER,0.3373493975903614
623,0.001609695789622164,H3,0.36254295532646047
624,0.0016428853935318993,RIO,0.3451178451178451
625,0.001659480195486767,325,0.3516666666666667
626,0.0016733091971158234,VUE,0.28760330578512394
627,0.0016816065980932572,ESCALADE,0.3618421052631579
628,0.0016926697993965023,COLORADO,0.33986928104575165
629,0.001770112208519218,LANCER,0.34375
630,0.001778409609496652,GLK350,0.3561430793157076
631,0.0017839412101482745,OUTBACK,0.3426356589147287
632,0.0017894728107998971,MX-5 MIATA,0.36321483771251933
633,0.0018060676127547649,MKZ,0.3660030627871363
634,0.001808833413080576,GALANT,0.3486238532110092
635,0.0018254282150354437,FX35,0.3287878787878788
636,0.0018503204179677452,GRAND MARQUIS,0.336322869955157
637,0.0018724468205742356,AVALANCHE 1500,0.3663220088626292
638,0.0018918074228549144,FORTWO,0.3567251461988304
640,0.0019249970267646496,ROUTAN,0.3649425287356322
639,0.0019249970267646496,FJ CRUISER,0.33189655172413796
641,0.001938826028393706,528,0.37660485021398005
642,0.0019443576290453287,SPORTAGE,0.32147937411095306
643,0.00194712342937114,SEQUOIA,0.3465909090909091
644,0.001966484031651819,XB,0.35443037974683544
645,0.0019720156323034415,NITRO,0.33520336605890605
646,0.0020522238417519686,ECLIPSE,0.3436657681940701
647,0.0020632870430552135,MAZDA5,0.3445040214477212
648,0.0020715844440326475,SEBRING,0.3591455273698264
649,0.0021075398482681943,G6,0.2979002624671916
650,0.0021324320512004957,TIGUAN,0.3670557717250324
651,0.002204342859671589,DURANGO,0.34127979924717694
653,0.002215406060974834,F250,0.38701622971285893
652,0.002215406060974834,500,0.3595505617977528
654,0.002218171861300645,TUCSON,0.35037406483790523
655,0.0022513614652103805,350Z,0.35626535626535627
656,0.0022790194684684933,ENCLAVE,0.33495145631067963
657,0.0022817852687943047,FORESTER,0.3612121212121212
658,0.0022873168694459273,CHALLENGER,0.3651753325272068
659,0.002342632875962153,IMPREZA,0.3778040141676505
660,0.002384119880849322,ARMADA,0.33642691415313225
661,0.0024090120837816234,TERRAIN,0.3409873708381171
662,0.0024200752850848687,CX-9,0.3325714285714286
663,0.0024366700870397363,FIT,0.32690124858115777
664,0.0024477332883429815,TRAILBLAZER,0.3525423728813559
665,0.002483688692578528,BEETLE,0.3273942093541203
666,0.002514112496162452,VENZA,0.3146314631463146
667,0.002536238898768942,GENESIS,0.3227917121046892
668,0.00255283370072381,TITAN,0.3542795232936078
669,0.002555599501049621,X5,0.35064935064935066
670,0.002563896902027055,EXPEDITION,0.3441208198489752
671,0.002563896902027055,FLEX,0.3074433656957929
672,0.0025970865059367905,YUKON,0.3397231096911608
673,0.0026247445091949033,TC,0.34773445732349845
674,0.0026551683127788274,INSIGHT,0.3260416666666667
675,0.0027187817202724866,ML350,0.37741607324516785
676,0.0028155847316758812,LACROSSE,0.36738703339882123
677,0.002881963939495352,SUBURBAN 1500,0.3598848368522073
678,0.002893027140798597,PT CRUISER,0.32504780114722753
679,0.002893027140798597,XTERRA,0.32887189292543023
680,0.0029621721489438793,COMPASS,0.3352007469654528
681,0.0030036591538310483,AVALON,0.35174953959484345
682,0.0030257855564375384,335,0.3336380255941499
683,0.003130885968818367,CORVETTE,0.37190812720848054
684,0.003139183369795801,FORTE,0.3674008810572687
685,0.003147480770773235,MDX,0.3365553602811951
686,0.0032359863811991956,COBALT,0.32735042735042735
687,0.0032940681880412326,TSX,0.33669185558354325
688,0.003296833988367044,FIESTA,0.3271812080536913
689,0.0033078971896702888,CX-7,0.3269230769230769
690,0.0033521499948832695,ACADIA,0.31683168316831684
691,0.0033936369997704385,CC,0.3333333333333333
692,0.003426826603680174,CAPTIVA SPORT,0.30912025827280065
693,0.00344065560530923,A4,0.3496784565916399
694,0.0035098006134545124,ACCORD CROSSTOUR,0.3262411347517731
695,0.0035208638147577573,HHR,0.3307148468185389
696,0.0037034066362613017,SRX,0.3241224794622853
697,0.0037089382369129243,ES 350,0.34750186428038776
698,0.0037587226427775273,CALIBER,0.3340691685062546
699,0.0037614884431033386,FRONTIER,0.3191176470588235
700,0.003778083245058206,G35,0.35505124450951686
701,0.003814038649293753,SIERRA 1500,0.3567802755620014
702,0.0038831836574390348,RANGER,0.37962962962962965
703,0.003932968063303638,PASSAT,0.3628691983122363
704,0.003963391866887562,IS 250,0.33984647592463363
705,0.0041182766851329934,TRAVERSE,0.32169241101410345
706,0.0042012506949073315,YARIS,0.34496379196840027
707,0.004231674498491256,TL,0.3509803921568627
708,0.004270395703052614,PATHFINDER,0.32189119170984454
709,0.004311882707939783,200,0.3495830660679923
710,0.004367198714456008,ACCENT,0.3318556048131729
711,0.00436996451478182,4RUNNER,0.34367088607594937
712,0.0044142173199948,PATRIOT,0.3333333333333333
713,0.004419748920646423,SANTA FE,0.31539424280350437
714,0.004439109522927102,RX 350,0.335202492211838
715,0.004524849333027252,TAURUS,0.34474327628361856
716,0.004571867938566043,OPTIMA,0.3514821536600121
717,0.0048401505701697375,SOUL,0.3377142857142857
718,0.004900998177337585,AVEO,0.31997742663656886
719,0.005047585594605583,CRUZE,0.3271232876712329
720,0.005183109810570336,E350,0.35485592315901815
721,0.005230128416109128,SIENNA,0.35166578529878373
722,0.0053656526320738805,CTS,0.3391752577319588
723,0.005622872062374329,SORENTO,0.3010329562223315
724,0.005636701064003385,PILOT,0.3228655544651619
725,0.0056781880688905545,JOURNEY,0.3326838772528008
726,0.005703080271822856,HIGHLANDER,0.3355965082444229
727,0.005783288481271383,CAMARO,0.3486370157819225
728,0.0059243442978877585,TAHOE,0.33473389355742295
729,0.006032210510594398,GRAND CHEROKEE,0.3516735442457588
730,0.006256240336985111,EQUINOX,0.32581786030061893
731,0.006322619544804582,EXPLORER,0.35039370078740156
732,0.006452612160117712,ODYSSEY,0.3317616802400343
733,0.006593667976734088,MURANO,0.3464765100671141
734,0.006668344585530992,TUNDRA,0.3392783077561178
735,0.006712597390743973,MAZDA6,0.3259167696744953
736,0.006839824205731292,300,0.3400727860897695
737,0.007224270451019059,GRAND CARAVAN,0.33422664624808573
738,0.007287883858512719,CHARGER,0.3415559772296015
739,0.007492553082622753,TACOMA,0.357327427094869
740,0.00787423352758471,WRANGLER,0.35511064278187565
741,0.008128687157559347,G37,0.34059203810820005
742,0.008136984558536781,TOWN AND COUNTRY,0.32902787219578516
743,0.008139750358862592,ELANTRA,0.33231396534148827
744,0.00821995856831112,COOPER,0.3553162853297443
745,0.008601639013273077,PRIUS,0.32893890675241155
746,0.009301386495703329,LIBERTY,0.31608682723758547
747,0.009381594705151857,MAZDA3,0.3263561320754717
748,0.00964987733675555,MAXIMA,0.3284608770421324
749,0.00982135695695585,CR-V,0.3399042523232892
750,0.009835185958584906,C300,0.3315523059617548
751,0.009965178573898037,AVENGER,0.32944768248681655
752,0.010164316197356449,328,0.33442176870748297
753,0.010410472426353653,EDGE,0.33156216790648246
754,0.010971929892493341,RAM 1500,0.37988404335770104
755,0.01105490390226768,JETTA,0.33925444083062295
756,0.01110192250780647,SILVERADO 1500,0.3418036870951669
757,0.01133701553550043,RAV4,0.3244693827762869
758,0.011561045361891144,ROGUE,0.3215311004784689
759,0.011995276013043515,VERSA,0.32695411574821304
760,0.012310577250186,MUSTANG,0.36553583464390027
761,0.012448867266476564,FUSION,0.3319262386136414
762,0.012565030880160638,SENTRA,0.33281972265023113
763,0.012927350722841915,FOCUS,0.3378262729995721
764,0.013472213387026737,ESCAPE,0.3319646889755697
765,0.014348972090308913,SONATA,0.3373168851195065
766,0.015109567179907014,IMPALA,0.3164927695405455
767,0.016647352161058084,F150,0.3631832530320651
768,0.017753672291382597,COROLLA,0.33338526250194733
769,0.018052378726570215,CIVIC,0.3503906848475563
770,0.01968420091879887,MALIBU,0.3283686946747225
771,0.02254680425601354,ACCORD,0.3440873405299313
772,0.026775712954178986,CAMRY,0.32486313397376304
773,0.03223540279733045,ALTIMA,0.32715572715572716
